triagram,frequency,probability
बेस,710,0.0001550399784778306
रेट,537,0.00011726263160928877
घटा,262,5.721193571998819e-05
लूट,2062,0.0004502710360863193
कार,7009,0.0015305284635931192
नशे,1287,0.0002810372567619267
खेल,3697,0.00080729971891907
सुन,659,0.00014390330396745122
कुद,1,2.1836616687018392e-07
बचा,1315,0.00028715150943429187
ठोक,121,2.6422306191292256e-05
अदा,1057,0.00023081303838178442
असल,1243,0.00027142914541963863
आशा,627,0.00013691558662760534
मृत,1031,0.00022513551804315964
राज,3693,0.0008064262542515892
वार,1247,0.00027230261008711937
पति,6051,0.001321333675731483
रूम,1269,0.0002771066657582634
चाय,1266,0.00027645156725765284
माफ,1096,0.00023932931888972158
एंड,2677,0.0005845662287114824
मूल,1447,0.00031597584346115614
रकम,1747,0.0003814856935222113
बहस,2295,0.0005011503529670721
गैप,113,2.4675376856330786e-05
शूट,1602,0.00034982259932603467
रहो,84,1.834275801709545e-05
रखो,4,8.734646674807357e-07
काल,452,9.870150742532314e-05
बचत,275,6.005069588930058e-05
जमा,2478,0.0005411113615043158
खोल,1271,0.0002775433980920038
मरे,184,4.017937470411384e-05
कदर,607,0.00013254826329020164
बरस,195,4.258140253968587e-05
फटा,60,1.3101970012211036e-05
हां,678,0.00014805226113798472
संघ,3636,0.0007939793827399888
राय,4960,0.0010830961876761123
बाई,453,9.891987359219333e-05
सरल,174,3.7995713035412e-05
यान,106,2.3146813688239497e-05
रात,11807,0.002578249332236262
फैल,1140,0.0002489374302320097
जता,523,0.0001142055052731062
गला,1351,0.0002950126914416185
घाट,1275,0.00027841686275948454
भरा,1093,0.00023867422038911104
खां,300,6.550985006105518e-05
धुन,145,3.166309419617667e-05
रखी,3607,0.0007876467639007534
गेट,1181,0.0002578904430736872
सभा,2174,0.00047472804677577986
