word,frequency,probability
सीएम,6157,0.0002641066834862
आयोग,6145,0.0002635919392598
हूं,6140,0.0002633774624988
एक्टर,6129,0.0002629056136246
अखिलेश,6126,0.000262776927568
संजय,6099,0.0002616187530587
राजनीतिक,6091,0.0002612755902411
अदालत,6088,0.0002611469041845
मुद्दे,6080,0.0002608037413669
मुख्य,6075,0.0002605892646059
स्थिति,6065,0.0002601603110839
मंदिर,6060,0.0002599458343229
पति,6051,0.0002595597761531
गृह,6019,0.0002581871248828
लगे,6004,0.0002575436945998
बेटे,5992,0.0002570289503734
जरूरत,5965,0.0002558707758641
युवक,5943,0.0002549270781157
सीमा,5934,0.0002545410199459
हासिल,5927,0.0002542407524805
नया,5924,0.0002541120664239
शाम,5923,0.0002540691710717
अहम,5916,0.0002537689036063
हरियाणा,5895,0.0002528681012102
शनिवार,5895,0.0002528681012102
संख्या,5894,0.000252825205858
मार,5886,0.0002524820430404
देशों,5880,0.0002522246709272
वापस,5872,0.0002518815081096
हिंसा,5858,0.0002512809731788
राजनीति,5835,0.0002502943800783
मंत्रालय,5819,0.0002496080544431
योजना,5818,0.0002495651590909
माना,5783,0.0002480638217639
योगी,5781,0.0002479780310595
पसंद,5772,0.0002475919728897
शख्स,5757,0.0002469485426068
हमने,5751,0.0002466911704936
घंटे,5748,0.000246562484437
उनसे,5708,0.000244846670349
उम्मीद,5694,0.0002442461354183
शुरुआत,5690,0.0002440745540095
सरकारी,5682,0.0002437313911919
गंभीर,5676,0.0002434740190787
जिससे,5673,0.0002433453330221
अंदर,5668,0.0002431308562611
एक्ट्रेस,5665,0.0002430021702045
देर,5664,0.0002429592748523
किसानों,5663,0.0002429163795001
लागू,5663,0.0002429163795001
मई,5656,0.0002426161120347
यात्रा,5647,0.0002422300538649
रखने,5638,0.0002418439956951
स्थित,5623,0.0002412005654122
लगाने,5617,0.000240943193299
संबंध,5605,0.0002404284490726
कह,5580,0.0002393560652676
मिला,5580,0.0002393560652676
बरामद,5573,0.0002390557978022
भाजपा,5567,0.000238798425689
बच्ची,5556,0.0002383265768149
ठीक,5544,0.0002378118325885
जिसे,5537,0.0002375115651231
नंबर,5528,0.0002371255069533
जान,5522,0.0002368681348401
महाराष्ट्र,5516,0.0002366107627269
पाकिस्तानी,5515,0.0002365678673747
प्रति,5511,0.0002363962859659
उम्मीदवार,5492,0.0002355812742742
जमीन,5481,0.0002351094254
आपके,5467,0.0002345088904692
मार्च,5458,0.0002341228322994
बजट,5443,0.0002334794020164
तमाम,5427,0.0002327930763813
अंजाम,5419,0.0002324499135637
इतना,5414,0.0002322354368027
फोटो,5400,0.0002316349018719
दूर,5384,0.0002309485762367
लग,5382,0.0002308627855323
खुलासा,5367,0.0002302193552493
उससे,5358,0.0002298332970796
मध्य,5344,0.0002292327621488
चाहिए,5339,0.0002290182853878
अच्छा,5333,0.0002287609132746
करें,5327,0.0002285035411614
कहीं,5324,0.0002283748551048
शव,5320,0.000228203273696
राज्यों,5302,0.0002274311573564
बनी,5296,0.0002271737852433
दिसंबर,5278,0.0002264016689037
रोल,5246,0.0002250290176333
बोर्ड,5245,0.0002249861222811
तरीके,5228,0.0002242569012938
देखते,5215,0.0002236992617152
जरूरी,5212,0.0002235705756586
ध्यान,5199,0.00022301293608
राजधानी,5191,0.0002226697732624
फिल्मों,5178,0.0002221121336838
देख,5171,0.0002218118662184
उसी,5157,0.0002212113312877
राजस्थान,5139,0.0002204392149481
बिना,5135,0.0002202676335393
स्तर,5132,0.0002201389474827
देना,5125,0.0002198386800173
कहानी,5111,0.0002192381450865
सही,5091,0.0002183802380426
मिले,5081,0.0002179512845206
शहर,5077,0.0002177797031118
वायरल,5075,0.0002176939124074
तलाश,5072,0.0002175652263508
याचिका,5071,0.0002175223309986
मुस्लिम,5068,0.000217393644942
निशाना,5064,0.0002172220635332
बने,5049,0.0002165786332502
बस,5031,0.0002158065169106
उम्र,5008,0.0002148199238101
रहते,4992,0.0002141335981749
जाए.,4986,0.0002138762260617
प्रियंका,4982,0.0002137046446529
लगी,4982,0.0002137046446529
छात्र,4981,0.0002136617493007
बावजूद,4975,0.0002134043771875
गलत,4973,0.0002133185864831
राय,4960,0.0002127609469046
भर,4953,0.0002124606794392
अरविंद,4953,0.0002124606794392
शूटिंग,4950,0.0002123319933826
पोस्ट,4948,0.0002122462026782
टीवी,4946,0.0002121604119738
व्यक्ति,4938,0.0002118172491562
किरदार,4921,0.0002110880281688
कराने,4916,0.0002108735514078
तेज,4915,0.0002108306560556
हमेशा,4897,0.000210058539716
फेसबुक,4893,0.0002098869583073
बिग,4892,0.0002098440629551
कराया,4881,0.0002093722140809
फरार,4877,0.0002092006326721
जनवरी,4858,0.0002083856209803
हमारी,4843,0.0002077421906973
वरिष्ठ,4834,0.0002073561325275
रहे.,4831,0.0002072274464709
